[2021-09-10 01:26:25,421], ## Epoch 157/500 Loss:20.515, MAE:75.93, MSE:108.16, Best MAE:68.05
[2021-09-10 01:32:28,301], ## Epoch 158/500 Loss:21.121, MAE:74.43, MSE:107.48, Best MAE:68.05
[2021-09-10 01:38:30,809], ## Epoch 159/500 Loss:21.947, MAE:97.67, MSE:139.57, Best MAE:68.05
[2021-09-10 01:44:33,926], ## Epoch 160/500 Loss:20.611, MAE:100.36, MSE:139.73, Best MAE:68.05
[2021-09-10 01:50:37,813], ## Epoch 161/500 Loss:21.224, MAE:78.52, MSE:115.94, Best MAE:68.05
[2021-09-10 01:56:39,677], ## Epoch 162/500 Loss:21.365, MAE:69.24, MSE:103.41, Best MAE:68.05
[2021-09-10 02:02:42,802], ## Epoch 163/500 Loss:22.624, MAE:78.66, MSE:112.18, Best MAE:68.05
[2021-09-10 02:08:44,201], ## Epoch 164/500 Loss:20.610, MAE:69.66, MSE:102.41, Best MAE:68.05
[2021-09-10 02:14:46,605], ## Epoch 165/500 Loss:21.988, MAE:72.87, MSE:115.00, Best MAE:68.05
[2021-09-10 02:20:49,304], ## Epoch 166/500 Loss:21.882, MAE:83.86, MSE:121.08, Best MAE:68.05
[2021-09-10 02:26:48,514], ## Epoch 167/500 Loss:19.044, MAE:68.32, MSE:100.00, Best MAE:68.05
[2021-09-10 02:32:51,581], ## Epoch 168/500 Loss:20.493, MAE:76.96, MSE:115.45, Best MAE:68.05
[2021-09-10 02:38:51,017], ## Epoch 169/500 Loss:21.091, MAE:74.54, MSE:106.49, Best MAE:68.05
[2021-09-10 02:44:54,322], ## Epoch 170/500 Loss:21.638, MAE:73.32, MSE:108.34, Best MAE:68.05
[2021-09-10 02:50:55,719], ## Epoch 171/500 Loss:18.455, MAE:90.48, MSE:127.71, Best MAE:68.05
[2021-09-10 02:56:58,733], ## Epoch 172/500 Loss:22.854, MAE:70.76, MSE:114.12, Best MAE:68.05
